,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
854,12.0,18,6,2,2,3,1,1,1,0,0,4,1,0,1,1,18,1,53,1,0,1,0,0,1,4.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
864,12.0,18,6,2,2,2,1,1,1,0,0,5,0,0,0,0,18,1,32,1,0,0,0,0,0,2.0,1.0,-1.2060555087303093,0.18858214985172153,-0.6278539263676209,-0.15631913823855415,-0.11469927775759996
868,12.0,18,6,3,1,2,1,1,1,0,0,6,0,0,1,0,18,2,50,1,0,1,0,0,1,3.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
869,13.2,36,6,3,3,1,2,2,2,0,0,5,1,1,1,1,8,1,31,1,0,1,0,0,1,4.0,1.0,-1.1508966861328345,-0.21395798100874744,-0.42078436543013237,-0.15631913823855415,-0.11469927775759996
874,13.2,36,6,3,2,2,1,1,1,0,0,3,1,1,1,0,15,1,52,1,0,0,0,0,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
875,12.0,18,6,4,2,2,1,1,1,0,0,7,0,0,1,0,4,1,52,1,0,0,0,0,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
878,12.0,18,6,3,1,2,1,1,1,0,0,7,1,1,1,1,8,2,50,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
880,13.2,36,6,4,1,2,1,1,1,0,0,4,1,1,0,0,2,1,32,1,0,0,0,0,0,2.0,1.0,-0.20768081971601446,-0.21395798100874744,-0.24535043185809344,-0.15631913823855415,-0.11469927775759996
882,13.2,36,6,3,1,2,1,1,1,0,0,3,1,0,0,0,18,1,32,1,0,1,0,0,1,2.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
884,12.0,18,6,4,2,2,1,1,1,0,0,4,1,0,1,0,18,1,52,1,0,1,0,0,1,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
