,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,borrow_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
4690,11.0,6,1,3,1,2,5,0,0,0,0,4,0,0,1,0,8,2,37,3,0,1,0,0,0,5.0,0,1.5520395290165179,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4691,13.0,18,1,2,1,1,1,0,0,0,0,3,0,0,0,0,7,2,64,2,0,0,0,0,0,2.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4692,15.0,24,1,2,3,1,9,0,0,0,0,4,0,0,0,0,17,4,31,2,0,0,0,0,0,1.0,0,0.6288545198135151,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4693,13.0,12,1,2,2,1,1,0,0,0,0,3,0,0,0,0,13,2,0,0,0,0,0,0,0,1.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4694,15.0,24,1,3,2,2,3,0,0,0,0,4,1,0,0,0,14,2,32,4,0,0,0,0,0,1.0,0,0.16726201521201384,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4695,10.0,3,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4696,15.0,12,1,2,1,1,2,0,0,0,0,5,0,0,1,0,1,2,33,2,0,0,0,0,0,5.0,0,0.9750488982646413,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4697,13.0,12,1,2,2,1,5,0,0,0,0,7,0,0,1,0,18,2,35,2,0,1,0,0,0,1.0,0,0.9750488982646413,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4698,10.0,3,1,2,3,2,1,0,0,0,0,3,0,0,0,0,14,4,44,1,0,0,0,0,0,3.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4699,11.0,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4700,13.0,12,1,1,1,2,3,0,0,0,0,3,1,0,0,0,7,1,35,2,1,1,0,0,0,1.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4701,10.0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4702,11.0,6,1,2,2,1,6,0,0,0,0,2,0,0,0,0,14,4,14,4,0,0,0,0,0,5.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4703,13.0,24,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0.9750488982646413,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4704,24.0,12,1,1,1,1,8,0,0,0,0,3,1,1,0,0,14,3,51,1,0,0,0,0,0,2.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4705,12.0,9,3,2,1,2,8,2,2,0,0,4,1,0,0,0,0,0,44,2,0,0,0,0,0,5.0,0,-0.40972861553986284,-0.3314537736561302,-0.05590419023049445,-0.29284316198753574,-0.0772747905195149
4706,20.0,12,1,4,1,2,1,0,0,0,0,3,1,0,0,0,13,4,32,3,0,0,0,0,0,6.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4707,13.0,24,1,2,1,2,4,0,0,0,0,5,1,0,0,0,18,1,43,3,0,0,0,0,0,3.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4708,13.0,15,2,3,1,2,11,3,3,1,0,7,1,0,0,0,18,1,37,2,0,0,0,0,0,1.0,0,-0.17893236323911219,1.4480372628937463,2.538465002225453,-0.29284316198753574,-0.0772747905195149
4709,11.0,6,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4710,15.0,24,1,2,2,2,6,0,0,0,0,4,0,0,0,0,8,3,44,2,0,1,0,0,0,6.0,0,-0.4674276786150505,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4711,13.0,36,3,2,3,2,4,1,1,0,0,6,1,1,1,1,17,2,12,3,0,0,0,0,0,1.0,0,0.3980582675127645,-0.04673520780814995,-0.24401555161702843,-0.29284316198753574,-0.0772747905195149
4712,13.0,36,1,2,1,2,1,0,0,0,0,4,1,0,0,0,8,2,31,2,0,0,0,0,0,5.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4713,10.0,3,5,2,2,2,20,12,12,0,0,6,1,1,0,0,8,2,13,3,1,1,0,0,0,6.0,1,-0.6405248678406135,1.4480372628937463,4.360793815657501,-0.29284316198753574,-0.0772747905195149
4714,15.0,6,1,2,1,1,4,0,0,0,0,3,0,0,0,0,8,2,42,2,0,1,0,0,0,3.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4715,11.0,6,1,3,1,2,1,0,0,0,0,7,1,0,1,0,8,2,33,2,0,0,0,0,0,1.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4716,13.0,24,1,2,2,3,4,0,0,0,0,3,1,0,1,1,12,2,51,2,0,0,0,0,0,3.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4717,13.0,36,1,2,2,1,1,0,0,0,0,4,0,0,0,0,20,2,41,2,0,0,0,0,0,2.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4718,13.0,12,1,2,1,2,3,0,0,0,0,3,0,0,0,0,8,2,44,2,0,0,0,0,0,4.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4719,13.0,36,1,2,1,1,2,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,2.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4720,13.0,36,1,1,2,2,1,0,0,0,0,3,1,0,1,0,0,0,33,1,0,0,0,0,0,2.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4721,13.0,12,1,2,2,1,2,2,1,2,0,5,0,0,0,0,0,0,44,2,1,0,0,0,0,1.0,1,-0.6636044930706886,-0.04673520780814995,-0.08725608379491678,0.11048771939166585,-0.0772747905195149
4722,13.0,15,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4723,13.0,12,1,2,1,2,12,0,0,0,0,7,1,0,0,0,10,1,43,1,0,0,0,0,0,1.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4724,22.0,9,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,-0.6866841183007637,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4725,13.0,36,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4726,13.0,36,1,2,3,1,1,0,0,0,0,6,1,1,1,0,17,2,42,4,0,0,0,0,0,3.0,0,2.1290301597683947,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4727,18.0,24,1,2,2,2,5,0,0,0,0,4,1,0,0,0,1,1,44,2,0,0,0,0,0,6.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4728,13.0,3,1,2,1,1,1,0,0,0,0,3,0,0,0,0,19,1,44,1,0,0,0,0,0,3.0,0,-0.6982239309158011,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
