webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210746,装修借款,家里正在装修，资金有缺口，希望能到借款，投标人不必担心我的还款能力，虽然我的信用等级低，有房贷，但本人月入3500，还有1000的公积金，妻子也是教师，收入稳定，与我一样！,10000,18,18,2,1,3,2,2,2,1,1,0,10000,0,0,1,0,3,1,1,0,0,4,4,44,4,0,0,0,0,0
http://www.we.com/loan/210747,买车,买车000000000000000000000000000000,20000,10,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210748,购买货物/原材/设备,公司职员，现居山东省潍坊市，从事房地产业行业，工作收入稳定，贷款用于购买货物/原材/设备。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,24600,13.2,36,2,6,3,2,3,1,1,1,0,24600,0,0,0,0,4,1,1,1,1,13,1,37,1,0,1,0,0,1
http://www.we.com/loan/210749,装修,公司职员，现居吉林省长春市，从事批发和零售业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,93400,13.2,36,1,6,4,1,3,1,1,0,93400,93400,28393.6,0,0,0,4,1,1,0,0,18,1,22,1,0,0,0,0,0
http://www.we.com/loan/210750,装修,公司职员，现居江苏省苏州市，从事批发和零售业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,77800,13.2,36,1,6,2,2,1,1,1,0,77800,77800,23651.2,0,0,0,3,1,0,0,0,18,1,32,1,0,0,0,0,0
http://www.we.com/loan/210751,资金周转,公司法人，现居辽宁省沈阳市，从事批发和零售业行业，经营稳定，收入良好，贷款用于资金周转。该借款人此次借款用于资金周转。该借款人为某商贸公司法人，该公司有10多人，借款人经营此公司9年，每月有稳定流水。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,101500,12,18,2,6,3,1,2,1,1,1,0,101500,0,0,0,0,6,1,1,0,0,18,2,21,1,0,0,0,0,0
http://www.we.com/loan/210752,装修,公司职员，现居广东省广州市，从事教育行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,73800,13.2,36,1,6,5,3,2,1,1,0,73800,73800,22435.2,0,0,0,4,1,0,0,0,15,1,44,1,0,0,0,0,0
http://www.we.com/loan/210753,资金周转,有稳定的工作和收入，五金社保齐全，信用良好望批准！,20000,15,24,2,1,2,2,2,3,1,1,0,20000,0,0,12,0,4,0,0,0,0,8,4,65,3,0,1,0,0,0
http://www.we.com/loan/210754,借款更新资料,借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料借款更新资料,3000,10,3,2,4,5,3,2,10,7,7,3000,32000,0,0,0,0,4,1,0,1,0,14,4,0,4,0,1,0,0,0
http://www.we.com/loan/210755,网贷体验,未接触过P2P网贷，对这一信贷模式比较好奇，想尝试一下，希望大家支持！,3000,10,3,0,1,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
